SUM of price,manager,,,,,,,,,,,
player_pos,David,Dongbo,Goutham,Michael,Noah,Peggy,Sam,Theo,Tom,Vinny,Wenlong,Yiding
Dak Prescott (QB),,,,,0.10%,,0.10%,,0.40%,0.30%,,
Dallas Goedert (TE),,,,,0.20%,0.10%,,,,0.91%,,
Dalton Kincaid (TE),,,,0.30%,,,,0.63%,0.10%,,,
Dalton Schultz (TE),,,,,,0.10%,,,,,,1.11%
Dalvin Cook (RB),,,,5.23%,,,,,,0.30%,,
Dameon Pierce (RB),,,,,,,,,,,3.42%,
Damien Harris (RB),,,,0.30%,,,,,,,,
Damien Pierce (RB),,,,0.40%,,,,,,,,
Daniel Carlson (K),,,,,,,,,0.40%,,,
Daniel Jones (QB),,0.10%,,,,0.10%,,,,,,
Darnell Mooney (WR),0.20%,,,0.80%,,,,,,,,0.20%
Darrell Henderson Jr. (RB),,,,0.10%,,,,,,,,
Darren Waller (TE),,,,,,,,0.13%,,2.11%,,
Davante Adams (WR),,,,,,,,,,,20.79%,5.77%
David Montgomery (RB),,,,,2.62%,1.52%,,,2.42%,,,
David Njoku (TE),,0.10%,0.30%,,,0.30%,,,,,,
Dawson Knox (TE),,,,,,,,,0.10%,,,
De'Von Achane (RB),,,,3.92%,6.85%,,4.80%,,,,,
De'Zhaun Stribling (WR),,,,,,,,,0.61%,,,
DeAndre Hopkins (WR),,,1.51%,,,,0.10%,,,0.10%,,
Deebo Samuel (WR),9.65%,,,,0.40%,,,,,0.10%,,
DeeJay Dallas (RB),,0.10%,,,,,,,,,,
DeMario Douglas (WR),,,,,,,0.10%,,,,,
Derek Carr (QB),,,,,,,,,,0.50%,,
Derrick Henry (RB),,4.72%,,,4.94%,6.07%,,6.93%,,,,6.17%
Deshaun Watson (QB),,,,,,,,1.39%,,,,
Devin Singletary (RB),,,,,0.10%,,,,0.10%,,,0.40%
DeVonta Smith (WR),,,0.30%,,,,,3.27%,,,,5.06%
Diontae Johnson (WR),,,,0.50%,,,,0.50%,,1.61%,,
DJ Chark (WR),,,0.10%,,,,,,0.10%,,,
DJ Moore (WR),,,,,1.01%,3.03%,1.20%,,1.72%,2.92%,,
DK Metcalf (WR),,,6.55%,,1.81%,,0.40%,,,1.21%,,
Dontayvion Wicks (WR),,,,,,0.10%,,,,,,
Drake London (WR),4.22%,5.73%,,3.72%,,,,,,0.50%,,
Drake Maye (QB),,,0.10%,,,,,0.76%,,,,
Eddy Pineiro (K),,,0.10%,,,,,,,,,
Elijah Mitchell (RB),0.10%,,,,,1.52%,,,,,,
Elijah Moore (WR),,,,,,,0.40%,,,0.20%,,
Emeka Egbuka (WR),,,,1.71%,,,,,2.12%,,,
Evan Engram (TE),,,,,,,,0.38%,,,,0.51%
Evan McPherson (K),0.10%,,,,,0.30%,,,,0.10%,,0.10%
Ezekiel Elliott (RB),0.30%,,0.10%,,,1.42%,,,,,,
Gabe Davis (WR),,,,,,,0.80%,,0.71%,,,
Garrett Wilson (WR),,,,,,0.10%,,18.51%,,,,2.94%
Geno Smith (QB),,,0.10%,,,,,,,,,
George Kittle (TE),1.81%,,2.52%,,0.71%,1.62%,,,,,,
George Pickens (WR),3.42%,,,0.10%,1.01%,,,,,1.21%,,
Graham Gano (K),,,,,,,,,,,0.13%,
Greg Zuerlein (K),,0.10%,,,,,,,,,,
Gus Edwards (RB),,,,,,,,,,,0.25%,
Harold Fannin Jr. (TE),,,,,,,,,,,0.25%,
Harrison Butker (K),,0.10%,,,,0.10%,0.10%,0.13%,,,,0.10%
Harrison Mevis (K),,,,0.10%,,,,,,,,
Hunter Henry (TE),,,,0.20%,,,,,0.10%,,,
Hunter Renfrow (WR),,,,,,,,,0.30%,,,
Isaac Guerendo (RB),,,,,,,,0.13%,,,,
Isaiah Likely (TE),,,,,,,,,,,0.38%,
Isiah Pacheco (RB),,,,,0.10%,,,,,,,5.87%
J.D. McKissick (RB),,,,,,,,,0.10%,,,
J.J. McCarthy (QB),,,,,0.10%,,,,,,,
J.K. Dobbins (RB),,,0.30%,,,0.10%,,,0.20%,0.70%,,0.71%
Ja'Marr Chase (WR),,15.98%,7.35%,6.04%,,7.38%,,,,,,
Jacory Croskey-Merritt (RB),,0.10%,,0.20%,,,,,,,,
Jadarian Price (RB),,,,,,,,,,,0.89%,
Jahan Dotson (WR),0.40%,,,,,,,,,,,
Jahmyr Gibbs (RB),,,,,3.63%,,,,,,14.96%,8.10%
Jake Bates (K),,,,,0.10%,,,,,0.10%,,
Jake Elliott (K),,,,,,,0.20%,,,,,0.10%
Jake Ferguson (TE),0.20%,0.10%,,,,,,,,,0.25%,
Jake Moody (K),,,,,2.32%,,,,,,,
Jakobi Meyers (TE),,,,,,,,0.13%,,,,
Jakobi Meyers (WR),,,,,,0.20%,,,,0.20%,0.51%,
Jaleel McLaughlin (RB),,,,,,,0.10%,,,,,
Jalen Coker (WR),,0.10%,,,,,,,,,,
Jalen Hurts (QB),3.42%,,1.61%,,,,,4.91%,,,0.76%,
Jalen McMillan (WR),0.20%,,,,,,,,,,,
Jamaal Williams (RB),,,,,,,,,,,0.13%,
James Conner (RB),,,,2.62%,,,,,2.93%,2.52%,,
James Cook III (RB),,3.82%,,,,6.17%,,,,0.10%,0.89%,2.94%
James Robinson (RB),,0.10%,,,,,,,,,,
Jameson Williams (WR),,0.90%,,0.10%,,0.81%,,,,,,
Jared Goff (QB),,0.10%,,0.10%,,,,,,0.10%,,
Jarvis Landry (WR),0.10%,,,,,,,,,,,
Jason Myers (K),0.10%,,0.10%,,,,,0.13%,,,,
Jason Sanders (K),,0.10%,,0.10%,,,,,,,,
Jauan Jennings (WR),0.60%,,,,,,,,,,,
Javonte Williams (RB),,,,,,,,,,,,7.09%
Jaxon Smith-Njigba (WR),,,6.95%,0.20%,,,,0.25%,2.42%,,,
Jaxson Dart (QB),,,,,,,,,,,0.51%,
Jayden Daniels (QB),0.40%,2.91%,0.10%,,,,,,,,,
Jayden Higgins (WR),,,0.20%,,,,,,,,,
Jayden Reed (WR),0.10%,,,,,,0.20%,,,,0.25%,
Jaydon Blue (RB),,,,,,0.10%,,,,,,
Jaylen Waddle (WR),,3.92%,,,,,2.60%,,1.92%,,,1.62%
Jaylen Warren (RB),,,0.60%,,,,0.10%,,,,,
Jaylen Warren (WR),,,,0.10%,,,,,,,,
Jaylen Wright (RB),,0.10%,,,,0.10%,,,,,,
Jaylin Noel (WR),,,,,,,0.10%,,,,,
Jeff Wilson Jr. (RB),,,0.10%,,,,,,,,,
Jeremiyah Love (RB),,,,,,,,,,3.72%,,
Jerick McKinnon (RB),,,0.10%,,,,,,,,,
Jerome Ford (RB),,,,,,,,,,0.10%,,0.10%
Jerry Jeudy (WR),,,,,,,,0.13%,,0.40%,0.63%,0.71%
Joe Burrow (QB),0.40%,,,0.60%,,,,,,0.40%,3.42%,
Joe Mixon (RB),,4.02%,,,,,,4.16%,,,,4.86%
Jonah Coleman (RB),,,,,0.10%,,,,,,,
Jonathan Brooks (RB),,,,0.20%,,,,,,,0.51%,
Jonathan Taylor (RB),14.07%,,,,6.45%,,,,,,8.87%,
Jordan Addison (WR),,0.20%,,,,0.20%,,,0.10%,0.10%,,
Jordan Love (QB),0.10%,,,,,,,,,,0.25%,
Jordan Mason (RB),,,,0.60%,,,,,,,,
Jordyn Tyson (WR),,,,0.10%,,,,,,,,
Josh Allen (QB),,,,,9.07%,,,,3.23%,2.82%,,
Josh Downs (WR),,,,0.10%,,0.10%,,,,,,
Josh Jacobs (RB),3.12%,,5.54%,,,,0.80%,2.39%,4.64%,,,
Joshua Kelley (RB),,,,,,,0.10%,,,,,
Joshua Palmer (WR),,,,,,,,,,,,0.10%
Juju Smith-Schuster (WR),,0.70%,,,,0.20%,,,,,,
Justin Fields (QB),0.10%,0.80%,,,,,,,,,,0.20%
Justin Herbert (QB),,,1.11%,0.10%,,2.43%,,,,,,
Justin Jefferson (WR),,,,,,,15.68%,,13.42%,6.34%,,
Justin Tucker (K),,,,,,,0.60%,,,,0.38%,
Juwan Johnson (TE),,,,,,,,,,,,0.10%
Ka'imi Fairbairn (K),,,,,,,,0.13%,0.10%,0.20%,,
Kadarius Toney (WR),,,,,,0.10%,,,,,,0.10%
Kaelon Black (RB),,0.20%,,,,,,,,,,
Kaleb Johnson (RB),0.20%,,,,,,,,,,,
Kareem Hunt (RB),,,,,,0.20%,0.10%,,,,,
KC Concepcion (WR),,,0.10%,,,,,,,,,
Keaton Mitchell (RB),,,0.30%,,,,,,,,,
Keenan Allen (WR),,,,,0.30%,,,,3.03%,0.20%,,3.04%
Kendre Miller (RB),,0.10%,,,,,,,,,,
Kendrick Bourne (WR),,,,,,,,,,0.10%,,
Kenneth Walker III (RB),,,,2.72%,1.21%,1.82%,5.19%,,,,,0.10%
Kenny Gainwell (RB),,,,0.40%,,,,,,,,
Kenny Pickett (QB),,,,,,,,,,,,0.10%
Kenyon Sadiq (TE),0.10%,,,,,,,,,,,
Keon Coleman (WR),,,0.10%,,,,,0.25%,,,,
Khalil Herbert (RB),,,,,,,0.10%,,,,,
Khalil Shakir (WR),0.10%,,0.10%,,,,,,0.10%,,,
Kimani Vidal (RB),,,0.10%,,,,,,,,,
Kirk Cousins (QB),,,,,,,0.10%,,,,0.13%,0.30%
Kyle Monangai (RB),,,,,,,,,,,,0.20%
Kyle Pitts (TE),,0.20%,,,0.20%,3.24%,,,0.30%,,0.51%,
Kyler Murray (QB),,,0.10%,,0.60%,,0.30%,0.88%,,,,
Kyren Williams (RB),3.52%,,,,,,,,3.73%,5.63%,,
Ladd McConkey (WR),,,0.10%,,,,,,,,,5.77%
Lamar Jackson (QB),,1.41%,1.21%,,3.73%,,,,,3.12%,,1.42%
Leonard Fournette (RB),,,,,,,,,3.63%,,,
Luther Burden III (WR),,,,0.80%,,,,,,,,
Makai Lemon (WR),,,,,,,,,,,0.38%,
Malik Nabers (WR),,6.53%,,5.43%,,,,,,,,
Mark Andrews (TE),,,,,,0.10%,2.90%,,4.04%,1.11%,,0.40%
Marquez Valdez-Scantling (WR),,,,,,,,,0.10%,,,
Marquise Brown (WR),,,,,,,,0.38%,,1.21%,,
MarShawn Lloyd (RB),,0.10%,,,,,,,,,,
Marvin Harrison Jr. (WR),,,,,,,,,,,,7.49%
Marvin Mims Jr. (WR),,,,,,,0.10%,,,,,
Matt Gay (K),,,,,,0.10%,,,,0.10%,,
Matt Prater (K),0.10%,,,,,,,,,,,
Matt Ryan (QB),,,,,,0.10%,,,,,,
Matthew Golden (WR),,,,1.01%,,,,,,,,0.40%
Matthew Stafford (QB),0.20%,,,,0.60%,,,,,,,
Melvin Gordon III (RB),,,,0.10%,,,,,,,,
Michael Carter (RB),0.10%,,,,,,,,,,,
Michael Gallup (WR),,,0.10%,,,,0.10%,,,,,
Michael Pittman Jr. (WR),,,,,,2.22%,,4.41%,,,0.76%,
Michael Thomas (WR),,,,,,,0.30%,,,,,0.40%
Michael Wilson (WR),,,,,,,,,,,0.51%,
Mike Evans (WR),,3.02%,,,0.81%,1.21%,,2.39%,3.13%,,,
Mike Gesicki (TE),,,0.10%,,,,,,,,,
Mike Washington Jr. (RB),,,,,,0.10%,,,,,,
Mike Williams (WR),,1.81%,,,,0.81%,,,,,,
Miles Sanders (RB),,1.51%,,,,,,,,0.60%,,
Najee Harris (RB),,5.03%,,0.40%,,,,2.14%,,,,
Najee Harrison (RB),,,,,,,,,,,0.38%,
Nick Chubb (RB),9.05%,,0.10%,,,,0.10%,,,,,
Nick Folk (K),,0.10%,,,,,,,,,,
Nico Collins (WR),,,2.92%,5.73%,,,0.10%,4.28%,,,,
Noah Fant (TE),,,,,0.10%,,,,,,,
Nyheim Hines (RB),,,0.10%,,,,,,,,,
Odell Beckham Jr. (WR),,,,,,,,,,,,0.10%
Omarion Hampton (RB),,,3.02%,,,,,,,,6.72%,
Parker Washington (WR),,,,,,,,,,,0.89%,
Pat Freiermuth (TE),0.10%,0.10%,0.10%,,,,,,,,,
Patrick Mahomes (QB),,1.31%,,,0.60%,,,,6.56%,,,
Puka Nacua (WR),,,7.05%,,,,5.89%,,,6.04%,,
Quentin Johnston (WR),,,,,,,,,,0.20%,,
Quinshon Judkins (RB),1.71%,,,,,,,0.13%,,,,
Rachaad White (RB),2.71%,,,,0.20%,,,,0.50%,0.10%,,
Raheem Mostert (RB),,,,,0.10%,0.10%,,1.01%,,,0.25%,
Rashaad Penny (RB),,,,0.10%,,,0.10%,,,,,
Rashee Rice (WR),3.82%,,,0.50%,,,,,,,,
Rashid Shaheed (WR),0.10%,,,,,,,,,0.10%,,0.10%
Rashod Bateman (WR),,,,0.50%,,,,,,0.30%,,
Rhamondre Stevenson (RB),,0.10%,,,0.71%,0.91%,,,1.92%,,,0.30%
Ricky Pearsall (WR),,,,0.80%,,,,,,,,
Rico Dowdle (RB),,,,,0.20%,,,,,,,0.10%
RJ Harvey (RB),,1.71%,,0.20%,,,,,,,,
Robbie Gould (K),,,,,0.10%,,,,,,,
Robert Woods (WR),0.10%,,,,,,,,,,,
Rome Odunze (WR),,0.60%,,0.40%,,,,,1.21%,,,
Romeo Doubs (WR),,,0.10%,,,,,,0.20%,,,
Rondale Moore (WR),,,,,0.10%,,,,,,,
Roschon Johnson (RB),,,,0.10%,,,,,,,,
Russell Gage (WR),0.10%,,,,,,,,,,,
Russell Wilson (QB),,,,,,,0.10%,,,0.40%,,
Ryan Tannehill (QB),,,0.10%,,,,,,,,,
Sam LaPorta (TE),,,0.70%,0.10%,0.71%,,3.80%,,,,,
Samaje Perine (RB),,,,0.10%,,,,,,,,
Saquon Barkley (RB),,,5.54%,,7.36%,,5.99%,,5.65%,3.52%,,
Skyy Moore (WR),,,0.20%,,,0.10%,,,,,,
Stefon Diggs (WR),,,4.13%,,2.32%,6.27%,,,0.30%,,,
T.J. Hockenson (TE),,0.10%,,,,,0.30%,,0.61%,,0.76%,
Tank Bigsby (RB),,,,,,,,,,,0.38%,0.10%
Tank Dell (RB),1.21%,,,,,,,,,,,
Tank Dell (WR),,,,,,,,0.13%,,,,
Taysom Hill (TE),,,,,,,,,,,0.38%,
Tee Higgins (WR),,5.33%,,,3.33%,,,1.76%,,,,
Terry McLaurin (WR),,2.11%,,,1.21%,,,,0.30%,2.41%,,0.61%
Tetairoa McMillan (WR),,,,,1.71%,,,,,,1.52%,
Tom Brady (QB),,,,,,1.11%,,,,,,
Tony Pollard (RB),,,0.40%,,1.01%,,,,,7.14%,,1.01%
Tory Horton (WR),,,,,,0.10%,,,,,,
Travis Etienne Jr. (RB),,,6.04%,,,,,,2.52%,3.92%,,
Travis Hunter (WR),0.90%,0.10%,,,,,,,,,,
Travis Kelce (TE),,,8.56%,,3.83%,,0.30%,,3.13%,,,0.10%
Tre Tucker (WR),,,,,,,,,,0.10%,,
TreVeyon Henderson (RB),,2.01%,,,,,1.40%,,,,,
Trevor Lawrence (QB),0.50%,0.30%,,,0.10%,,,,,,,
Trey Benson (RB),,,,,,,,,,0.10%,,
Trey Lance (QB),,,,,0.10%,,,,,,,
Trey McBride (TE),9.85%,,,,,,,,,,,
Treylon Burks (WR),,,,,,0.10%,,,0.40%,,,
Tua Tagovailoa (QB),,,,,,,0.30%,,0.10%,,,0.10%
Tucker Kraft (TE),,,,0.20%,,,,0.63%,,,,
Ty Chandler (RB),,,,,,,,,0.10%,,,
Tyjae Spears (RB),,,,,,,,,0.10%,0.10%,,0.30%
Tyler Allgeier (RB),,,,,,0.20%,,,,0.20%,,
Tyler Bass (K),,,,,,,,,0.20%,0.10%,,
Tyler Boyd (WR),0.10%,,0.10%,,,,,,,,,
Tyler Higbee (TE),,,0.10%,,,0.10%,,,,,,
Tyler Lockett (WR),,0.10%,,,,,0.20%,,,,0.51%,
Tyler Loop (K),,0.10%,,,,,,,,,,
Tyler Shough (QB),,,,,,,,,0.10%,,,
Tyler Warren (TE),,,,0.20%,,0.91%,,,,,,
Tyreek Hill (WR),,,,,4.13%,3.74%,,,,,10.14%,7.39%
Tyrone Tracy Jr. (RB),,,,0.80%,,0.10%,,,,,,
Wan'Dale Robinson (WR),,0.10%,,,,,,,,,,
Will Reichard (K),,,,,,,,,0.10%,,,
Woody Marks (RB),,,,,,,,0.13%,,,,
Xavier Legette (WR),,0.10%,,,0.10%,,,,,,,
Xavier Worthy (WR),,,,,0.30%,0.71%,,0.13%,,,,
Younghoe Koo (K),,,0.10%,,,0.10%,,0.13%,,,,
Zach Charbonnet (RB),,,,0.10%,,,0.60%,,,0.20%,,
Zach Ertz (TE),,0.10%,0.20%,,,,,,,,,
Zack Moss (RB),,,,,0.30%,,,,,,,
Zamir White (RB),,,,,,,,,,,0.51%,
Zay Flowers (WR),0.80%,,0.60%,,,,1.10%,,,0.30%,,
Zay Jones (WR),,,,,,,,,,,,0.10%
