COUNT of price,manager,,,,,,,,,,,
player_pos,David,Dongbo,Goutham,Michael,Noah,Peggy,Sam,Theo,Tom,Vinny,Wenlong,Yiding
Chris Olave (WR),,,,20.00%,,,20.00%,20.00%,,20.00%,20.00%,
Chris Rodriguez Jr. (RB),,,100.00%,,,,,,,,,
Christian Kirk (WR),,25.00%,,,25.00%,,25.00%,,25.00%,,,
Christian McCaffrey (RB),,20.00%,20.00%,,,20.00%,,20.00%,20.00%,,,
Christian Watson (WR),,,33.33%,,,,,,33.33%,,33.33%,
Chuba Hubbard (RB),,50.00%,,,,,25.00%,,25.00%,,,
Clyde Edwards-Helaire (RB),,100.00%,,,,,,,,,,
Cole Kmet (TE),,,,50.00%,,,,50.00%,,,,
Colston Loveland (TE),,,,,,,50.00%,,,,,50.00%
Cooper Kupp (WR),25.00%,,25.00%,,,,50.00%,,,,,
Cordarrelle Patterson (RB),,,,,,,,,100.00%,,,
Courtland Sutton (WR),20.00%,40.00%,,,,20.00%,,,,,20.00%,
Curtis Samuel (WR),,,,,,,,,,,,100.00%
D'Andre Swift (RB),20.00%,,40.00%,,20.00%,20.00%,,,,,,
D'Onta Foreman (RB),,,100.00%,,,,,,,,,
Dak Prescott (QB),,,,,20.00%,,20.00%,,40.00%,20.00%,,
Dallas Goedert (TE),,,,,20.00%,20.00%,,,,60.00%,,
Dalton Kincaid (TE),,,,50.00%,,,,25.00%,25.00%,,,
Dalton Schultz (TE),,,,,,33.33%,,,,,,66.67%
Dalvin Cook (RB),,,,50.00%,,,,,,50.00%,,
Dameon Pierce (RB),,,,,,,,,,,100.00%,
Damien Harris (RB),,,,100.00%,,,,,,,,
Damien Pierce (RB),,,,100.00%,,,,,,,,
Daniel Carlson (K),,,,,,,,,100.00%,,,
Daniel Jones (QB),,50.00%,,,,50.00%,,,,,,
Darnell Mooney (WR),50.00%,,,25.00%,,,,,,,,25.00%
Darrell Henderson Jr. (RB),,,,100.00%,,,,,,,,
Darren Waller (TE),,,,,,,,33.33%,,66.67%,,
Davante Adams (WR),,,,,,,,,,,80.00%,20.00%
David Montgomery (RB),,,,,20.00%,20.00%,,,60.00%,,,
David Njoku (TE),,33.33%,33.33%,,,33.33%,,,,,,
Dawson Knox (TE),,,,,,,,,100.00%,,,
De'Von Achane (RB),,,,50.00%,25.00%,,25.00%,,,,,
De'Zhaun Stribling (WR),,,,,,,,,100.00%,,,
DeAndre Hopkins (WR),,,33.33%,,,,33.33%,,,33.33%,,
Deebo Samuel (WR),60.00%,,,,20.00%,,,,,20.00%,,
DeeJay Dallas (RB),,100.00%,,,,,,,,,,
DeMario Douglas (WR),,,,,,,100.00%,,,,,
Derek Carr (QB),,,,,,,,,,100.00%,,
Derrick Henry (RB),,20.00%,,,20.00%,20.00%,,20.00%,,,,20.00%
Deshaun Watson (QB),,,,,,,,100.00%,,,,
Devin Singletary (RB),,,,,33.33%,,,,33.33%,,,33.33%
DeVonta Smith (WR),,,20.00%,,,,,40.00%,,,,40.00%
Diontae Johnson (WR),,,,33.33%,,,,33.33%,,33.33%,,
DJ Chark (WR),,,50.00%,,,,,,50.00%,,,
DJ Moore (WR),,,,,20.00%,20.00%,20.00%,,20.00%,20.00%,,
DK Metcalf (WR),,,40.00%,,20.00%,,20.00%,,,20.00%,,
Dontayvion Wicks (WR),,,,,,100.00%,,,,,,
Drake London (WR),20.00%,40.00%,,20.00%,,,,,,20.00%,,
Drake Maye (QB),,,50.00%,,,,,50.00%,,,,
Eddy Pineiro (K),,,100.00%,,,,,,,,,
Elijah Mitchell (RB),50.00%,,,,,50.00%,,,,,,
Elijah Moore (WR),,,,,,,50.00%,,,50.00%,,
Emeka Egbuka (WR),,,,50.00%,,,,,50.00%,,,
Evan Engram (TE),,,,,,,,66.67%,,,,33.33%
Evan McPherson (K),25.00%,,,,,25.00%,,,,25.00%,,25.00%
Ezekiel Elliott (RB),33.33%,,33.33%,,,33.33%,,,,,,
Gabe Davis (WR),,,,,,,33.33%,,66.67%,,,
Garrett Wilson (WR),,,,,,20.00%,,60.00%,,,,20.00%
Geno Smith (QB),,,100.00%,,,,,,,,,
George Kittle (TE),40.00%,,20.00%,,20.00%,20.00%,,,,,,
George Pickens (WR),25.00%,,,25.00%,25.00%,,,,,25.00%,,
Graham Gano (K),,,,,,,,,,,100.00%,
Greg Zuerlein (K),,100.00%,,,,,,,,,,
Gus Edwards (RB),,,,,,,,,,,100.00%,
Harold Fannin Jr. (TE),,,,,,,,,,,100.00%,
Harrison Butker (K),,20.00%,,,,20.00%,20.00%,20.00%,,,,20.00%
Harrison Mevis (K),,,,100.00%,,,,,,,,
Hunter Henry (TE),,,,50.00%,,,,,50.00%,,,
Hunter Renfrow (WR),,,,,,,,,100.00%,,,
Isaac Guerendo (RB),,,,,,,,100.00%,,,,
Isaiah Likely (TE),,,,,,,,,,,100.00%,
Isiah Pacheco (RB),,,,,25.00%,,,,,,,75.00%
J.D. McKissick (RB),,,,,,,,,100.00%,,,
J.J. McCarthy (QB),,,,,100.00%,,,,,,,
J.K. Dobbins (RB),,,20.00%,,,20.00%,,,20.00%,20.00%,,20.00%
Ja'Marr Chase (WR),,40.00%,20.00%,20.00%,,20.00%,,,,,,
Jacory Croskey-Merritt (RB),,50.00%,,50.00%,,,,,,,,
Jadarian Price (RB),,,,,,,,,,,100.00%,
Jahan Dotson (WR),100.00%,,,,,,,,,,,
Jahmyr Gibbs (RB),,,,,25.00%,,,,,,50.00%,25.00%
Jake Bates (K),,,,,50.00%,,,,,50.00%,,
Jake Elliott (K),,,,,,,66.67%,,,,,33.33%
Jake Ferguson (TE),33.33%,33.33%,,,,,,,,,33.33%,
Jake Moody (K),,,,,100.00%,,,,,,,
Jakobi Meyers (WR),,,,,,20.00%,,20.00%,,40.00%,20.00%,
Jaleel McLaughlin (RB),,,,,,,100.00%,,,,,
Jalen Coker (WR),,100.00%,,,,,,,,,,
Jalen Hurts (QB),40.00%,,20.00%,,,,,20.00%,,,20.00%,
Jalen McMillan (WR),100.00%,,,,,,,,,,,
Jamaal Williams (RB),,,,,,,,,,,100.00%,
James Conner (RB),,,,50.00%,,,,,25.00%,25.00%,,
James Cook III (RB),,20.00%,,,,20.00%,,,,20.00%,20.00%,20.00%
James Robinson (RB),,100.00%,,,,,,,,,,
Jameson Williams (WR),,33.33%,,33.33%,,33.33%,,,,,,
Jared Goff (QB),,33.33%,,33.33%,,,,,,33.33%,,
Jarvis Landry (WR),100.00%,,,,,,,,,,,
Jason Myers (K),33.33%,,33.33%,,,,,33.33%,,,,
Jason Sanders (K),,50.00%,,50.00%,,,,,,,,
Jauan Jennings (WR),100.00%,,,,,,,,,,,
Javonte Williams (RB),,,,,,,,,,,,100.00%
Jaxon Smith-Njigba (WR),,,25.00%,25.00%,,,,25.00%,25.00%,,,
Jaxson Dart (QB),,,,,,,,,,,100.00%,
Jayden Daniels (QB),33.33%,33.33%,33.33%,,,,,,,,,
Jayden Higgins (WR),,,100.00%,,,,,,,,,
Jayden Reed (WR),33.33%,,,,,,33.33%,,,,33.33%,
Jaydon Blue (RB),,,,,,100.00%,,,,,,
Jaylen Waddle (WR),,20.00%,,,,,40.00%,,20.00%,,,20.00%
Jaylen Warren (RB),,,50.00%,25.00%,,,25.00%,,,,,
Jaylen Wright (RB),,50.00%,,,,50.00%,,,,,,
Jaylin Noel (WR),,,,,,,100.00%,,,,,
Jeff Wilson Jr. (RB),,,100.00%,,,,,,,,,
Jeremiyah Love (RB),,,,,,,,,,100.00%,,
Jerick McKinnon (RB),,,100.00%,,,,,,,,,
Jerome Ford (RB),,,,,,,,,,50.00%,,50.00%
Jerry Jeudy (WR),,,,,,,,25.00%,,25.00%,25.00%,25.00%
Joe Burrow (QB),20.00%,,,20.00%,,,,,,20.00%,40.00%,
Joe Mixon (RB),,25.00%,,,,,,50.00%,,,,25.00%
Jonah Coleman (RB),,,,,100.00%,,,,,,,
Jonathan Brooks (RB),,,,50.00%,,,,,,,50.00%,
Jonathan Taylor (RB),40.00%,,,,40.00%,,,,,,20.00%,
Jordan Addison (WR),,25.00%,,,,25.00%,,,25.00%,25.00%,,
Jordan Love (QB),50.00%,,,,,,,,,,50.00%,
Jordan Mason (RB),,,,100.00%,,,,,,,,
Jordyn Tyson (WR),,,,100.00%,,,,,,,,
Josh Allen (QB),,,,,60.00%,,,,20.00%,20.00%,,
Josh Downs (WR),,,,50.00%,,50.00%,,,,,,
Josh Jacobs (RB),20.00%,,20.00%,,,,20.00%,20.00%,20.00%,,,
Joshua Kelley (RB),,,,,,,100.00%,,,,,
Joshua Palmer (WR),,,,,,,,,,,,100.00%
Juju Smith-Schuster (WR),,50.00%,,,,50.00%,,,,,,
Justin Fields (QB),33.33%,33.33%,,,,,,,,,,33.33%
Justin Herbert (QB),,,20.00%,20.00%,,60.00%,,,,,,
Justin Jefferson (WR),,,,,,,40.00%,,40.00%,20.00%,,
Justin Tucker (K),,,,,,,66.67%,,,,33.33%,
Juwan Johnson (TE),,,,,,,,,,,,100.00%
Ka'imi Fairbairn (K),,,,,,,,33.33%,33.33%,33.33%,,
Kadarius Toney (WR),,,,,,50.00%,,,,,,50.00%
Kaelon Black (RB),,100.00%,,,,,,,,,,
Kaleb Johnson (RB),100.00%,,,,,,,,,,,
Kareem Hunt (RB),,,,,,50.00%,50.00%,,,,,
KC Concepcion (WR),,,100.00%,,,,,,,,,
Keaton Mitchell (RB),,,100.00%,,,,,,,,,
Keenan Allen (WR),,,,,20.00%,,,,20.00%,40.00%,,20.00%
Kendre Miller (RB),,100.00%,,,,,,,,,,
Kendrick Bourne (WR),,,,,,,,,,100.00%,,
Kenneth Walker III (RB),,,,20.00%,20.00%,20.00%,20.00%,,,,,20.00%
Kenny Gainwell (RB),,,,100.00%,,,,,,,,
Kenny Pickett (QB),,,,,,,,,,,,100.00%
Kenyon Sadiq (TE),100.00%,,,,,,,,,,,
Keon Coleman (WR),,,50.00%,,,,,50.00%,,,,
Khalil Herbert (RB),,,,,,,100.00%,,,,,
Khalil Shakir (WR),33.33%,,33.33%,,,,,,33.33%,,,
Kimani Vidal (RB),,,100.00%,,,,,,,,,
Kirk Cousins (QB),,,,,,,33.33%,,,,33.33%,33.33%
Kyle Monangai (RB),,,,,,,,,,,,100.00%
Kyle Pitts (TE),,20.00%,,,20.00%,20.00%,,,20.00%,,20.00%,
Kyler Murray (QB),,,25.00%,,25.00%,,25.00%,25.00%,,,,
Kyren Williams (RB),33.33%,,,,,,,,33.33%,33.33%,,
Ladd McConkey (WR),,,33.33%,,,,,,,,,66.67%
Lamar Jackson (QB),,20.00%,20.00%,,20.00%,,,,,20.00%,,20.00%
Leonard Fournette (RB),,,,,,,,,100.00%,,,
Luther Burden III (WR),,,,100.00%,,,,,,,,
Makai Lemon (WR),,,,,,,,,,,100.00%,
Malik Nabers (WR),,33.33%,,66.67%,,,,,,,,
Mark Andrews (TE),,,,,,20.00%,20.00%,,20.00%,20.00%,,20.00%
Marquez Valdez-Scantling (WR),,,,,,,,,100.00%,,,
Marquise Brown (WR),,,,,,,,66.67%,,33.33%,,
MarShawn Lloyd (RB),,100.00%,,,,,,,,,,
Marvin Harrison Jr. (WR),,,,,,,,,,,,100.00%
Marvin Mims Jr. (WR),,,,,,,100.00%,,,,,
Matt Gay (K),,,,,,50.00%,,,,50.00%,,
Matt Prater (K),100.00%,,,,,,,,,,,
Matt Ryan (QB),,,,,,100.00%,,,,,,
Matthew Golden (WR),,,,50.00%,,,,,,,,50.00%
Matthew Stafford (QB),50.00%,,,,50.00%,,,,,,,
Melvin Gordon III (RB),,,,100.00%,,,,,,,,
Michael Carter (RB),100.00%,,,,,,,,,,,
Michael Gallup (WR),,,50.00%,,,,50.00%,,,,,
Michael Pittman Jr. (WR),,,,,,20.00%,,20.00%,,,60.00%,
Michael Thomas (WR),,,,,,,50.00%,,,,,50.00%
Michael Wilson (WR),,,,,,,,,,,100.00%,
Mike Evans (WR),,20.00%,,,20.00%,20.00%,,20.00%,20.00%,,,
Mike Gesicki (TE),,,100.00%,,,,,,,,,
Mike Washington Jr. (RB),,,,,,100.00%,,,,,,
Mike Williams (WR),,33.33%,,,,66.67%,,,,,,
Miles Sanders (RB),,33.33%,,,,,,,,66.67%,,
Najee Harris (RB),,33.33%,,33.33%,,,,33.33%,,,,
Najee Harrison (RB),,,,,,,,,,,100.00%,
Nick Chubb (RB),50.00%,,25.00%,,,,25.00%,,,,,
Nick Folk (K),,100.00%,,,,,,,,,,
Nico Collins (WR),,,25.00%,25.00%,,,25.00%,25.00%,,,,
Noah Fant (TE),,,,,100.00%,,,,,,,
Nyheim Hines (RB),,,100.00%,,,,,,,,,
Odell Beckham Jr. (WR),,,,,,,,,,,,100.00%
Omarion Hampton (RB),,,50.00%,,,,,,,,50.00%,
Parker Washington (WR),,,,,,,,,,,100.00%,
Pat Freiermuth (TE),33.33%,33.33%,33.33%,,,,,,,,,
Patrick Mahomes (QB),,20.00%,,,40.00%,,,,40.00%,,,
Puka Nacua (WR),,,33.33%,,,,33.33%,,,33.33%,,
Quentin Johnston (WR),,,,,,,,,,100.00%,,
Quinshon Judkins (RB),50.00%,,,,,,,50.00%,,,,
Rachaad White (RB),25.00%,,,,25.00%,,,,25.00%,25.00%,,
Raheem Mostert (RB),,,,,25.00%,25.00%,,25.00%,,,25.00%,
Rashaad Penny (RB),,,,50.00%,,,50.00%,,,,,
Rashee Rice (WR),66.67%,,,33.33%,,,,,,,,
Rashid Shaheed (WR),33.33%,,,,,,,,,33.33%,,33.33%
Rashod Bateman (WR),,,,33.33%,,,,,,66.67%,,
Rhamondre Stevenson (RB),,20.00%,,,20.00%,20.00%,,,20.00%,,,20.00%
Ricky Pearsall (WR),,,,100.00%,,,,,,,,
Rico Dowdle (RB),,,,,50.00%,,,,,,,50.00%
RJ Harvey (RB),,50.00%,,50.00%,,,,,,,,
Robbie Gould (K),,,,,100.00%,,,,,,,
Robert Woods (WR),100.00%,,,,,,,,,,,
Rome Odunze (WR),,33.33%,,33.33%,,,,,33.33%,,,
Romeo Doubs (WR),,,33.33%,,,,,,66.67%,,,
Rondale Moore (WR),,,,,100.00%,,,,,,,
Roschon Johnson (RB),,,,100.00%,,,,,,,,
Russell Gage (WR),100.00%,,,,,,,,,,,
Russell Wilson (QB),,,,,,,50.00%,,,50.00%,,
Ryan Tannehill (QB),,,100.00%,,,,,,,,,
Sam LaPorta (TE),,,25.00%,25.00%,25.00%,,25.00%,,,,,
Samaje Perine (RB),,,,100.00%,,,,,,,,
Saquon Barkley (RB),,,20.00%,,20.00%,,20.00%,,20.00%,20.00%,,
Skyy Moore (WR),,,50.00%,,,50.00%,,,,,,
Stefon Diggs (WR),,,20.00%,,20.00%,40.00%,,,20.00%,,,
T.J. Hockenson (TE),,25.00%,,,,,25.00%,,25.00%,,25.00%,
Tank Bigsby (RB),,,,,,,,,,,50.00%,50.00%
Tank Dell (RB),50.00%,,,,,,,50.00%,,,,
Taysom Hill (TE),,,,,,,,,,,100.00%,
Tee Higgins (WR),,40.00%,,,40.00%,,,20.00%,,,,
Terry McLaurin (WR),,20.00%,,,20.00%,,,,20.00%,20.00%,,20.00%
Tetairoa McMillan (WR),,,,,50.00%,,,,,,50.00%,
Tom Brady (QB),,,,,,100.00%,,,,,,
Tony Pollard (RB),,,20.00%,,40.00%,,,,,20.00%,,20.00%
Tory Horton (WR),,,,,,100.00%,,,,,,
Travis Etienne Jr. (RB),,,60.00%,,,,,,20.00%,20.00%,,
Travis Hunter (WR),50.00%,50.00%,,,,,,,,,,
Travis Kelce (TE),,,20.00%,,20.00%,,20.00%,,20.00%,,,20.00%
Tre Tucker (WR),,,,,,,,,,100.00%,,
TreVeyon Henderson (RB),,50.00%,,,,,50.00%,,,,,
Trevor Lawrence (QB),33.33%,33.33%,,,33.33%,,,,,,,
Trey Benson (RB),,,,,,,,,,100.00%,,
Trey Lance (QB),,,,,100.00%,,,,,,,
Trey McBride (TE),100.00%,,,,,,,,,,,
Treylon Burks (WR),,,,,,50.00%,,,50.00%,,,
Tua Tagovailoa (QB),,,,,,,33.33%,,33.33%,,,33.33%
Tucker Kraft (TE),,,,50.00%,,,,50.00%,,,,
Ty Chandler (RB),,,,,,,,,100.00%,,,
Tyjae Spears (RB),,,,,,,,,33.33%,33.33%,,33.33%
Tyler Allgeier (RB),,,,,,50.00%,,,,50.00%,,
Tyler Bass (K),,,,,,,,,66.67%,33.33%,,
Tyler Boyd (WR),50.00%,,50.00%,,,,,,,,,
Tyler Higbee (TE),,,50.00%,,,50.00%,,,,,,
Tyler Lockett (WR),,33.33%,,,,,33.33%,,,,33.33%,
Tyler Loop (K),,100.00%,,,,,,,,,,
Tyler Shough (QB),,,,,,,,,100.00%,,,
Tyler Warren (TE),,,,50.00%,,50.00%,,,,,,
Tyreek Hill (WR),,,,,25.00%,25.00%,,,,,25.00%,25.00%
Tyrone Tracy Jr. (RB),,,,50.00%,,50.00%,,,,,,
Wan'Dale Robinson (WR),,100.00%,,,,,,,,,,
Will Reichard (K),,,,,,,,,100.00%,,,
Woody Marks (RB),,,,,,,,100.00%,,,,
Xavier Legette (WR),,50.00%,,,50.00%,,,,,,,
Xavier Worthy (WR),,,,,33.33%,33.33%,,33.33%,,,,
Younghoe Koo (K),,,33.33%,,,33.33%,,33.33%,,,,
Zach Charbonnet (RB),,,,25.00%,,,50.00%,,,25.00%,,
Zach Ertz (TE),,50.00%,50.00%,,,,,,,,,
Zack Moss (RB),,,,,100.00%,,,,,,,
Zamir White (RB),,,,,,,,,,,100.00%,
Zay Flowers (WR),25.00%,,25.00%,,,,25.00%,,,25.00%,,
Zay Jones (WR),,,,,,,,,,,,100.00%
